Index,codigo_1,codigo_2,idx_codigo
6469,3616353,468213,176
6472,6865534,431121,177
6472,6718332,461110,178
6472,3032774,461121,179
6474,3501547,327910,180
6474,8664423,435220,181
6476,739967,463214,182
6476,2208771,463211,183
6478,6308267,315222,184
6479,9319212,236112,185
6481,719714,461130,186
6482,1045121,323119,187
6483,6730377,434225,188
6484,683722,811119,189
6490,6733111,541810,190
6493,8536035,311812,191
6493,6768939,311812,192
6493,862487,311812,193
6493,910102,311812,194
6494,1010044,464111,195
6494,1047432,464111,196
6497,871916,435313,197
6498,2069850,321910,198
6510,8768117,522452,199
6511,6305728,466212,200
6511,6759886,466212,201
6511,2501392,466212,202
6511,6353540,466212,203
6511,6791384,466212,204
6511,2040184,466212,205
6511,6353541,466212,206
6511,3593976,466212,207
6518,903510,325620,208
6520,953466,463111,209
6521,6801834,464111,210
6521,971456,464113,211
6525,2933743,326198,212
6525,3873767,323119,213
6526,6313848,621491,214
6526,6321540,621491,215
6526,6383001,621491,216
6529,8489177,434221,217
6529,964736,467113,218
6532,966142,722512,219
6538,9296234,434223,220
6540,8596036,488511,221
6541,8595920,326193,222
6541,6430433,326160,223
6541,6708021,326160,224
6548,1000045,463112,225
6548,1000103,463111,226
6548,834661,813210,227
6548,1220994,813210,228
6548,8619409,813210,229
6548,1925230,813210,230
6548,8865814,813210,231
6548,3060257,813210,232
6548,3147379,813210,233
6548,4100959,813210,234
6548,4065185,813210,235
6548,4614017,813210,236
6549,1003044,432119,237
6549,1002947,465311,238
6549,1003043,465311,239
6549,9069806,465311,240
6549,7151619,463113,241
6549,8744715,465311,242
6549,8971291,465311,243
6549,9208813,463113,244
6550,1335888,463113,245
6550,7148070,432119,246
6550,2126756,463113,247
6553,889776,541510,248
6555,989598,722511,249
6556,8326467,465913,250
6556,8503454,316213,251
6556,1711589,326150,252
6558,1026632,541510,253
6561,8153269,722511,254
6563,920862,541510,255
6566,934145,434225,256
6569,952296,465212,257
6570,7255737,435313,258
6570,933491,463211,259
6572,7239017,465311,260
6572,7278666,461110,261
6572,8169234,463211,262
6572,972930,311812,263
6572,952278,722515,264
6572,1348719,311812,265
6572,1212044,463215,266
6572,1513768,468420,267
6572,1862974,611511,268
6572,7135304,722515,269
6572,6919454,812210,270
6572,7199442,465111,271
6572,2100475,812110,272
6572,7852230,311812,273
6572,7585199,532282,274
6572,8597255,465311,275
6572,3567341,812110,276
6572,6520600,461160,277
6572,8123700,461110,278
6572,3831739,611211,279
6572,8838399,114111,280
6572,4034426,468211,281
6572,7234904,465311,282
6572,4413994,722512,283
6574,826017,339994,284
6575,3682137,461110,285
6578,6761916,812310,286
6584,8247208,541219,287
6586,823184,337120,288
6586,955371,435319,289
6590,966212,467112,290
6591,6735726,434227,291
6592,28210,466410,292
6592,13025,623991,293
6592,76146,623991,294
6592,155482,623991,295
6592,68681,623991,296
6592,139015,623991,297
6592,60227,623991,298
6592,6484058,623991,299
6592,6758853,813230,300
6592,7772427,623992,301
6592,408267,623991,302
6592,534214,623991,303
6592,988889,623991,304
6592,748903,623991,305
6592,1698865,611171,306
6592,8699546,623991,307
6592,1855352,623991,308
6592,1913826,623991,309
6592,1988166,623991,310
6592,2138105,813210,311
6592,8436464,623991,312
6592,2990647,623991,313
6592,3151484,623991,314
6592,8644522,623991,315
6592,3773859,623991,316
6592,6934669,623991,317
6592,4511864,623991,318
6593,6260119,621511,319
6593,286028,621511,320
6593,7590316,621511,321
6593,8303291,621511,322
6593,837636,434222,323
6593,952357,621113,324
6593,8007632,621511,325
6593,9206383,621511,326
6593,1085126,621511,327
6593,6255938,621511,328
6593,6864120,621511,329
6593,6864247,621511,330
6593,7898096,621511,331
6593,6758129,621511,332
6601,785076,467111,333
6601,8696688,467111,334
6603,6307959,435313,335
6603,6870955,435313,336
6603,1668531,435313,337
6603,6870954,435313,338
6603,4538492,435313,339
6603,8418992,435313,340
6604,9279863,466111,341
6604,690274,466111,342
6605,1148093,813210,343
6610,9315827,236112,344
6614,6406692,313220,345
6614,6405912,313220,346
6617,6882183,461140,347
6617,7716314,722518,348
6617,4391158,434112,349
6618,1925289,334610,350
6619,743896,435411,351
6620,686732,467111,352
6621,49636,461110,353
6621,7012361,461110,354
6621,7921084,461110,355
6621,349286,461110,356
6621,365808,461110,357
6621,7268054,461110,358
6621,8848573,461110,359
6621,7216541,461140,360
6621,1124735,461110,361
6621,1124770,461110,362
6621,8364336,461140,363
6621,7974978,461140,364
6621,7281113,461110,365
6621,2027421,461110,366
6621,7250336,461140,367
6621,7691743,461140,368
6621,2389738,461140,369
6621,8475623,461140,370
6621,3048220,461110,371
6621,8222585,461110,372
6621,3301123,461110,373
6621,8656931,461140,374
6621,3533109,461110,375
6621,9185177,461140,376
6621,8256257,461110,377
6621,3634978,461110,378
6621,3681441,461110,379
6621,3681473,461110,380
6621,8069812,461110,381
6621,4446884,461110,382
6622,1874597,431130,383
6623,979707,433110,384
6624,916243,435319,385
6625,8269601,321920,386
6626,7747784,323119,387
6629,8385696,334220,388
6630,1027806,434211,389
6630,848576,434211,390
6630,1014692,434211,391
6630,2509410,434211,392
6630,2031244,434211,393
6630,2256374,434211,394
6630,2508318,467113,395
6630,2783234,467111,396
6631,6145529,237131,397
6632,659114,468211,398
6632,9040334,313320,399
6632,6856601,468411,400
6632,1147716,468411,401
6632,1120351,468411,402
6632,1308474,467115,403
6632,6334940,462112,404
6632,6333584,488111,405
6632,6499912,491110,406
6632,6509624,491110,407
6632,6433956,522320,408
6632,6872936,522460,409
6632,1335671,541211,410
6632,8483162,541610,411
6632,1330279,561432,412
6632,1306793,562999,413
6632,1119087,611162,414
6632,1335412,611121,415
6632,1206062,611312,416
6632,1280400,611132,417
6632,9134181,611182,418
6632,1222781,611182,419
6632,1232794,611182,420
6632,9084229,611182,421
6632,1223826,611182,422
6632,1286766,611182,423
6632,1199377,611182,424
6632,1306825,611182,425
6632,1257604,611182,426
6632,1358450,611182,427
6632,6502168,611182,428
6632,6497708,611182,429
6632,6480589,611182,430
6632,6489558,611182,431
6632,6477450,611182,432
6632,6492422,611182,433
6632,6492087,611182,434
6632,1239213,611182,435
6632,9102373,611182,436
6632,8599971,611182,437
6632,6482911,611182,438
6632,1321849,611182,439
6632,6500203,611182,440
6632,1228676,611182,441
6632,6485736,611182,442
6632,1233764,611182,443
6632,1225098,611182,444
6632,6472891,611182,445
6632,1317689,624191,446
6632,1343877,621116,447
6634,6212525,323119,448
6634,2786365,323119,449
6637,8247186,461212,450
6639,54702,811111,451
6639,820644,327991,452
6639,1307105,468211,453
6639,7307274,532282,454
6643,6884376,333243,455
6644,1534774,434211,456
6646,3559986,327991,457
6649,706899,434225,458
6650,1011310,433210,459
6650,1129603,238210,460
6650,9213901,238210,461
6650,1159032,561620,462
6650,9275271,327111,463
6650,1869814,811312,464
6650,9118785,722511,465
6651,3949062,431199,466
6651,3949421,461110,467
6651,6220605,461160,468
6651,3933799,461160,469
6652,194974,434111,470
6652,6290987,434111,471
6652,6290924,434111,472
6654,6763318,561620,473
6655,24172,321910,474
6655,149550,321910,475
6655,193813,337120,476
6655,7711105,434224,477
6655,423519,337110,478
6655,603275,321910,479
6655,530288,321910,480
6655,619199,434224,481
6655,6191306,434224,482
6655,827134,321910,483
6655,6257132,321910,484
6655,793022,321910,485
6655,1028626,337120,486
6655,6738717,434224,487
6655,852997,434224,488
6655,6323995,434224,489
6655,8612424,434224,490
6655,703126,466114,491
6655,6738718,434224,492
6655,7954758,321910,493
6655,7978538,337120,494
6655,1353342,337120,495
6655,1145475,434224,496
6655,7776959,321910,497
6655,7313097,811420,498
6655,1881667,321910,499
6655,1774411,337120,500
6655,1928943,434224,501
6655,1909375,434224,502
6655,6785141,321910,503
6655,8687117,321910,504
6655,9106826,337120,505
6655,8135806,434224,506
6655,7074099,434224,507
6655,2207106,434224,508
6655,7147745,466114,509
6655,7469215,466410,510
6655,2379789,461110,511
6655,9084199,321910,512
6655,7825142,321910,513
6655,7585692,321910,514
6655,7234123,811420,515
6655,2772856,337120,516
6655,6756090,434224,517
6655,6853820,434224,518
6655,6494781,337110,519
6655,2931977,321910,520
6655,6800748,321910,521
6655,7334556,321910,522
6655,9238377,321910,523
6657,2454199,434211,524
6657,2548838,467111,525
6657,2548470,467111,526
6658,4437479,431121,527
6658,4210475,434111,528
6659,2980824,332510,529
6660,1697522,325610,530
6660,7809722,325610,531
6662,1022945,463111,532
6665,6281264,315229,533
6665,6282238,315229,534
6665,9168,463211,535
6667,970492,541380,536
6667,6800647,541380,537
6667,1383336,931510,538
6667,8140745,541380,539
6667,7565875,541380,540
6667,2777300,541380,541
6667,2809781,621511,542
6667,2856793,621511,543
6667,3116938,541380,544
6667,6741669,541620,545
6667,3462118,621511,546
6667,3619523,467117,547
6667,3638027,541380,548
6667,3868689,541380,549
6667,4041033,541380,550
6672,6156932,484129,551
6673,6313760,434222,552
6673,6853942,434222,553
6675,6258243,434222,554
6675,6257886,434222,555
6676,6317927,323119,556
6679,6157338,484121,557
6680,6711615,212324,558
6680,9326926,236111,559
6680,50016,336992,560
6680,9164387,337110,561
6680,8499609,337110,562
6680,9351510,467111,563
6680,22637,466111,564
6680,8515068,466111,565
6680,9147769,463214,566
6680,9123792,463214,567
6680,9175320,463214,568
6680,8500302,541610,569
6680,6906038,541410,570
6680,6731281,541330,571
6680,6809366,561310,572
6680,8624696,561330,573
6680,8500439,621113,574
6680,7407069,711312,575
6680,8499803,713112,576
6680,17287,931310,577
6680,9330866,236211,578
6680,6734059,311513,579
6680,9290608,434111,580
6680,9338088,466312,581
6680,6738896,468111,582
6680,6789396,468111,583
6680,8524691,468111,584
6680,8320581,466212,585
6680,9224537,518210,586
6680,8280494,541330,587
6680,6710503,541990,588
6680,8333775,561620,589
6680,140019,611122,590
6680,70120,621391,591
6680,8210956,238190,592
6680,6424655,237131,593
6680,6877020,435110,594
6680,8453656,435319,595
6680,6289180,434111,596
6680,175584,812110,597
6680,6143065,237112,598
6680,209120,435412,599
6680,9293916,465919,600
6680,188115,464121,601
6680,202630,611312,602
6680,187662,931610,603
6680,188088,931210,604
6680,226450,332710,605
6680,8224829,332710,606
6680,9096760,531210,607
6682,1060771,434221,608
6684,9310797,463310,609
6685,1709480,326193,610
6685,1709481,434223,611
6685,6767122,434223,612
6687,912652,435313,613
6690,6342796,326110,614
6691,1491855,466114,615
6691,1777140,466114,616
6692,6281016,434222,617
6692,6303119,434222,618
6692,6338605,434222,619
6693,6146455,237131,620
6693,1696910,237131,621
6694,8474950,332320,622
6694,6420883,332320,623
6694,3627902,467114,624
6696,789331,434223,625
6697,7666763,464113,626
6697,7059523,722515,627
6697,6231857,462112,628
6697,6154565,484129,629
6697,1059901,432130,630
6697,6232424,462112,631
6697,6796314,462112,632
6697,6325915,462111,633
6697,6866437,462111,634
6697,9055624,463310,635
6697,6758985,463310,636
6697,9350026,463310,637
6697,908713,519122,638
6697,919297,561110,639
6697,757885,611112,640
6697,769987,611122,641
6697,769983,611122,642
6697,769962,611122,643
6697,1030626,611621,644
6697,882662,621332,645
6697,845808,621116,646
6697,905470,622311,647
6697,845805,622112,648
6697,846498,622312,649
6697,1873089,813110,650
6697,6791250,462112,651
6697,2396632,519122,652
6697,2412565,519122,653
6697,2510358,541510,654
6697,2059907,611162,655
6697,2059939,611162,656
6697,2325281,611162,657
6697,8843320,611162,658
6697,2520209,611162,659
6697,1983537,611162,660
6697,2371544,611162,661
6697,2137042,611182,662
6697,2152174,611162,663
6697,2270083,611172,664
6697,1973896,611112,665
6697,2396620,611122,666
6697,2523629,611512,667
6697,2523609,611172,668
6697,2493065,611122,669
6697,2421666,611122,670
6697,2550139,611122,671
6697,2138716,611122,672
6697,2176070,611122,673
6697,7615533,611122,674
6697,2145853,611122,675
6698,6263374,311110,676
6698,6263878,311110,677
6698,8620589,434112,678
6698,8620543,434112,679
6699,4467549,463310,680
6699,4467560,463310,681
6701,6339298,468411,682
6704,6151009,237123,683
6707,8778186,465216,684
6708,2192399,434211,685
6709,7457080,434225,686
6711,465705,433410,687
6711,6355574,323119,688
6712,870024,236111,689
6712,6144897,236221,690
6712,6150399,236221,691
6713,556117,333249,692
6713,1060508,541510,693
6713,8807871,621113,694
6714,32924,434221,695
6714,1340547,434221,696
6714,8833534,434221,697
6716,6161696,484233,698
6717,9031774,433410,699
6717,6766483,339940,700
6723,6750503,468211,701
6723,6273699,436112,702
6723,6273700,436112,703
6723,8893286,468211,704
6723,9297666,468211,705
6723,6273694,468211,706
6723,8705987,468211,707
6723,6273515,468211,708
6723,6750344,468211,709
6723,6806990,468211,710
6724,6340940,434223,711
6724,6340941,434223,712
6724,6359326,434223,713
6724,6991912,434223,714
6726,6377651,722511,715
6731,6267379,311422,716
6732,123212,311422,717
6733,171100,467111,718
6733,6291056,434230,719
6733,311399,468411,720
6733,6292866,468411,721
6733,6315691,434230,722
6733,1323637,811111,723
6733,8311321,468213,724
6733,6263238,468411,725
6733,6263237,468411,726
6733,1576628,811115,727
6733,1598453,811192,728
6733,6339485,468411,729
6733,1893338,468211,730
6733,1903673,461110,731
6733,6435719,468411,732
6733,7499943,468211,733
6733,1900462,811191,734
6733,1769108,811112,735
6733,1831155,811119,736
6733,2502284,468420,737
6733,2501978,811112,738
6733,2546751,811111,739
6733,2546838,811114,740
6733,2678772,468411,741
6733,2834164,485210,742
6733,3164520,465311,743
6733,3124144,468420,744
6733,6712106,485990,745
6733,9151702,561431,746
6733,3167828,811112,747
6733,6881619,461140,748
6733,6387255,468411,749
6733,6875232,468411,750
6734,7972962,434225,751
6734,6864061,434225,752
6734,1886117,541330,753
6738,4021491,434211,754
6739,1245782,561432,755
6739,7124665,517910,756
6739,8058537,811219,757
6739,4552644,435311,758
6739,4486621,466212,759
6740,2936144,332999,760
6741,2256532,466114,761
6741,2020566,467115,762
6741,8992244,332320,763
6741,3360243,466114,764
6741,3419924,466114,765
6744,6321545,339913,766
6744,6323644,339913,767
6745,8982390,467111,768
6745,1870282,467111,769
6745,8693204,467111,770
6745,3772066,467111,771
6747,8990534,461121,772
6747,6715237,461121,773
6747,8226061,462111,774
6747,1754729,461121,775
6747,6342143,461121,776
6747,6346113,461121,777
6747,6346114,461121,778
6749,8319573,434225,779
6749,318732,811112,780
6749,7768645,337210,781
6749,932180,541610,782
6749,6800881,434229,783
6749,6165502,237131,784
6749,3338790,435319,785
6749,4457739,467111,786
6754,74824,434211,787
6754,135612,434224,788
6754,140795,434224,789
6756,6281988,339112,790
6756,4643021,315223,791
6758,6143632,237312,792
6760,6766633,561330,793
6761,3785383,431150,794
6761,6868229,493130,795
6765,6307302,335920,796
6767,6306181,332710,797
6767,6309554,332110,798
6768,179077,531210,799
6770,6354697,326198,800
6771,1760154,435419,801
6771,1827387,467111,802
6772,9306801,114113,803
6772,8789503,114113,804
6773,6367506,332810,805
6776,6142485,237212,806
6776,9322538,236111,807
6778,1026659,561510,808
6779,6771939,484239,809
6779,6717762,484232,810
6780,694108,488511,811
6782,6311028,811312,812
6782,6290433,811312,813
6787,9353312,621320,814
6787,6923515,811112,815
6787,6971398,323119,816
6787,9362145,337120,817
6787,6971177,463211,818
6787,123020,531210,819
6787,88539,541190,820
6787,6940910,722514,821
6787,161802,466313,822
6787,164729,468211,823
6787,8160365,541870,824
6787,9364796,722517,825
6787,8160534,811491,826
6787,8211048,811491,827
6787,195621,811121,828
6787,307421,314991,829
6787,253318,323119,830
6787,229617,332320,831
6787,257826,332320,832
6787,7040402,436112,833
6787,8443737,461110,834
6787,298153,468212,835
6787,9310234,465919,836
6787,237279,468211,837
6787,8948509,466111,838
6787,241313,466111,839
6787,6707625,484231,840
6787,6164588,485510,841
6787,6426922,522490,842
6787,7435370,541810,843
6787,306662,811113,844
6787,6799039,435419,845
6787,7133110,323119,846
6787,8655100,467111,847
6787,521090,462112,848
6787,8021514,541110,849
6787,369944,541810,850
6787,8242605,621511,851
6787,9044282,621511,852
6787,7011122,812110,853
6787,6932198,811111,854
6787,436418,811114,855
6787,603144,314991,856
6787,8229439,461110,857
6787,7162028,465311,858
6787,607448,722517,859
6787,7237229,812110,860
6787,1027896,323119,861
6787,953781,323119,862
6787,7631002,461110,863
6788,9310694,487110,864
6788,9235497,484129,865
6789,3885154,434225,866
6791,6284549,433110,867
6791,9031762,433110,868
6794,1689182,332710,869
6795,8210745,461123,870
6795,7896106,811129,871
6795,1776889,468211,872
6795,2571883,467114,873
6795,3234345,465311,874
6795,7458582,722512,875
6795,3654927,465112,876
6795,3773887,468211,877
6795,3985595,467114,878
6795,8822481,467114,879
6795,7624272,467114,880
6795,8591243,811491,881
6796,2462194,467111,882
6796,2527423,467111,883
6801,8612532,811219,884
6803,8779948,434224,885
6803,9316715,434224,886
6803,6761389,434224,887
6803,6284827,434224,888
6805,9315960,492110,889
6807,3944774,561431,890
6810,6769132,237312,891
6811,6727702,468411,892
6811,6857295,468411,893
6811,8724154,468411,894
6812,6306757,435419,895
6812,6312719,435419,896
6813,1698508,722512,897
6813,3922408,722512,898
6817,7893823,316991,899
6817,1957599,522110,900
6819,6765914,434221,901
6819,6872989,434221,902
6819,8248357,434211,903
6819,3912815,331220,904
6819,8620831,434221,905
6819,6872990,434221,906
6819,6878312,434221,907
6820,8427627,811499,908
6820,6277642,315229,909
6821,7641116,434112,910
6821,9000954,434112,911
6821,9028624,434112,912
6821,9047745,434112,913
6824,6377632,315229,914
6828,84106,464113,915
6828,2963686,325412,916
6828,2963692,722511,917
6828,6399084,722517,918
6828,6399437,722517,919
6828,6399439,722517,920
6828,6750390,722517,921
6828,6793014,722517,922
6829,6143198,237212,923
6830,9299334,484129,924
6833,8539910,541190,925
6834,866491,541810,926
6836,8326745,621211,927
6838,6142738,236211,928
6840,6200391,541510,929
6841,8308544,314912,930
6844,6309808,465211,931
6844,8601809,465211,932
6845,6155085,487110,933
6849,6209369,461121,934
6850,6142340,236111,935
6850,6142379,237212,936
6850,6281496,325620,937
6850,19610,332710,938
6850,6981054,332320,939
6850,6979760,463216,940
6850,7622144,468213,941
6850,6499,468112,942
6850,26520,461160,943
6850,6281299,468211,944
6850,6282143,468211,945
6850,9299182,465111,946
6850,9279566,465919,947
6850,6136,466112,948
6850,6281675,463215,949
6850,7461992,463211,950
6850,39037,531319,951
6850,34082,541211,952
6850,35957,611162,953
6850,13067,611122,954
6850,5909,611122,955
6850,8058,611122,956
6850,6063,611122,957
6850,14243,611122,958
6850,8250729,611122,959
6850,25657,611122,960
6850,25688,611122,961
6850,44772,611122,962
6850,24897,611132,963
6850,45594,611132,964
6850,15012,611132,965
6850,7461652,611132,966
6850,9538,611142,967
6850,33950,611142,968
6850,2846,611112,969
6850,2847,611112,970
6850,16450,611112,971
6850,25673,611112,972
6850,25656,611112,973
6850,26390,611122,974
6850,49277,611162,975
6850,52232,624112,976
6850,15342,722515,977
6850,50197,722515,978
6850,5910,722515,979
6850,49276,722515,980
6850,9543,722515,981
6850,33951,722515,982
6850,16733,722517,983
6850,8624917,722514,984
6851,662068,323119,985
6852,6354777,326160,986
6854,8662109,434112,987
6854,2231592,434228,988
6854,8496469,541943,989
6854,4164618,541712,990
6854,4537359,115210,991
6855,6511345,484239,992
6857,695155,488519,993
6857,8696278,541690,994
6863,2146521,434229,995
6867,8113346,221111,996
6867,677242,467111,997
6867,2218801,811312,998
6867,2798618,811211,999
6867,8287340,488493,1000
6867,8927631,468211,1001
6871,2205728,434225,1002
6873,688879,531210,1003
6878,6259110,722511,1004
6880,902152,722511,1005
6882,1026690,332999,1006
6882,6347206,332999,1007
6883,867359,531210,1008
6883,2067173,621116,1009
6883,2065590,813210,1010
6883,2319022,931210,1011
6883,6513725,221312,1012
6883,3188594,221311,1013
6883,7573170,312112,1014
6883,3211668,314110,1015
6883,3125652,314110,1016
6883,6375010,431213,1017
6883,6882288,462112,1018
6883,3103604,467111,1019
6883,3188021,467113,1020
6883,3069340,466311,1021
6883,6160309,487110,1022
6883,3212060,519122,1023
6883,8429378,515110,1024
6883,9240744,522110,1025
6883,6871680,522460,1026
6883,3103689,531311,1027
6883,8429379,531311,1028
6883,3125484,611162,1029
6883,7434738,611691,1030
6883,3188011,611699,1031
6883,3188063,611171,1032
6883,3187985,611122,1033
6883,3188059,611142,1034
6883,8986323,624112,1035
6883,3187988,624222,1036
6883,3103731,622112,1037
6883,8985140,624112,1038
6883,3188055,713114,1039
6883,8985138,711312,1040
6883,3187941,713944,1041
6883,3188046,722511,1042
6883,3211627,812130,1043
6883,3209816,813210,1044
6883,3188060,813210,1045
6883,3188033,813210,1046
6883,9080335,813230,1047
6883,3212619,812322,1048
6883,3187934,812322,1049
6883,3187992,813210,1050
6883,3212037,811111,1051
6883,8985251,931610,1052
6883,7726060,931610,1053
6883,8429251,931610,1054
6883,8429254,931610,1055
6883,3188670,931410,1056
6883,8429253,931410,1057
6885,1008074,621331,1058
6886,912556,722511,1059
6889,6438060,468411,1060
6891,6736916,468213,1061
6891,2433555,468213,1062
6891,8761283,468213,1063
6891,6756626,468213,1064
6893,2494198,434226,1065
6893,2509427,467113,1066
6896,676189,332710,1067
6896,6330328,323119,1068
6897,8623384,434240,1069
6898,9315470,238910,1070
6903,957433,465211,1071
6905,957986,561610,1072
6907,6304931,561920,1073
6910,7768335,541330,1074
6910,9037552,435312,1075
6912,8445204,541620,1076
6915,6461970,237999,1077
6917,229981,461121,1078
6917,6304763,431121,1079
6917,871698,461121,1080
6917,1019648,461121,1081
6917,760549,461121,1082
6917,648607,461121,1083
6917,745924,461121,1084
6917,7247559,461121,1085
6917,7967180,461121,1086
6917,7901739,461121,1087
6917,1449157,461121,1088
6917,1490956,461121,1089
6917,1510011,461121,1090
6917,1949949,461121,1091
6917,2079097,461121,1092
6917,2130032,461150,1093
6917,2259307,461121,1094
6917,2446911,461121,1095
6917,2507038,461121,1096
6917,2114639,461121,1097
6917,1997239,461121,1098
6917,2683963,461121,1099
6917,2851351,461121,1100
6917,7100150,461121,1101
6917,7032158,461121,1102
6917,3165307,461121,1103
6917,3774028,461121,1104
6917,4426029,461121,1105
6917,4472324,461121,1106
6917,4295520,722513,1107
6919,878474,433510,1108
6919,988571,433510,1109
6919,988572,433510,1110
6919,992007,466112,1111
6919,878476,466112,1112
6919,9230127,466112,1113
6919,8710711,435319,1114
6919,2000274,468211,1115
6920,1030468,434225,1116
6921,6412001,434225,1117
6921,892469,465216,1118
6921,9046804,435319,1119
6921,6306849,434225,1120
6923,6316822,434225,1121
6923,6317419,434225,1122
6923,892486,434225,1123
6923,7756072,434225,1124
6923,986609,434225,1125
6923,6847098,434225,1126
6923,8401027,435419,1127
6923,6351973,434225,1128
6923,8348287,435419,1129
6923,8684547,434225,1130
6923,3595597,434225,1131
6923,3944703,541330,1132
6925,9284086,212321,1133
6925,6228159,237312,1134
6925,6265307,434211,1135
6925,6265303,811192,1136
6930,651616,434225,1137
6931,8484877,463216,1138
6931,7320313,463211,1139
6931,1283821,463211,1140
6931,1283756,463211,1141
6931,8573947,463211,1142
6931,9363287,463211,1143
6931,9072154,463211,1144
6931,1869041,463211,1145
6931,8225565,463211,1146
6931,8943773,611111,1147
6931,2560917,463211,1148
6931,3150844,463211,1149
6931,3885070,463211,1150
6931,4139421,463211,1151
6932,6306338,435313,1152
6932,6867745,435313,1153
6932,6868661,435313,1154
6932,9285915,435313,1155
6932,6867746,435313,1156
6934,6810121,518210,1157
6938,1060904,238210,1158
6939,6312366,432120,1159
6940,6770379,326193,1160
6942,755569,467113,1161
6942,6348282,467113,1162
6942,2065692,467113,1163
6945,2012475,532282,1164
6945,2376304,532282,1165
6949,6710580,463211,1166
